,Network,Geometric props,Kx cylinder,Ky cylinder,Kz cylinder,Kx prism,Ky prism,Kz prism,G20,G50,G80
0,0,0,4.521731582527015,4.642467661743994,4.534077969261308,1.9151945111463138,2.014675555522871,1.9535202565796466,0.016536046640062762,0.034747986272985885,0.04585982990875034
1,0,1,4.521731582527015,4.642467661743994,4.5340779692613085,1.9332851682579573,1.9727450360220002,1.971710240296467,0.01620241961739028,0.03446722805170599,0.04581302677016973
2,0,2,4.521731582527015,4.642467661743994,4.534077969261308,1.9265118603234503,1.9806010294432665,1.941518590083332,0.0161528696351694,0.03457031204013617,0.04577550072410753
3,0,3,4.521731582527015,4.642467661743994,4.534077969261308,1.9211624063442179,2.0054465337157903,1.9857136385757725,0.016177476202547537,0.03459910071071526,0.04592198340024908
4,0,4,4.521731582527015,4.642467661743994,4.5340779692613085,2.009868505154105,1.9836879592730021,1.9499955737203432,0.016363033861402962,0.03463513949847644,0.04582121929827221
5,0,5,4.521731582527015,4.642467661743994,4.534077969261308,1.955180057588061,2.030601277698134,1.9609821621804913,0.017020444679310444,0.03501579655153184,0.04593356734520494
6,0,6,4.521731582527015,4.642467661743994,4.534077969261308,1.9388605983986877,2.040151034935559,1.9454560365302551,0.01650006074032643,0.03467891510311873,0.0457431307373655
7,0,7,4.521731582527015,4.642467661743994,4.534077969261308,1.9427680902798699,2.0178638719434288,2.012446558828436,0.016892658764059695,0.03492457382541299,0.045985102621038235
8,0,8,4.521731582527015,4.642467661743994,4.534077969261308,2.01351808014529,2.0192674364081036,1.9724853643613185,0.016378394526583444,0.03510392123039745,0.04589489287562729
9,0,9,4.521731582527015,4.642467661743994,4.534077969261308,1.908207433539593,1.9767593517844073,1.9477473384852708,0.016447583381580883,0.034684023236979555,0.04587187222166084
10,1,0,4.601081828561489,4.601642564080661,4.571684283213534,1.9235183432459175,1.944896133766159,1.9253613978614907,0.01598566924881917,0.03434864555938504,0.04583653009281228
11,1,1,4.601081828561489,4.601642564080661,4.571684283213534,1.979147778847101,2.009422364745777,1.9830251585269427,0.01615309482602743,0.03473064960704373,0.045958963081904176
12,1,2,4.601081828561489,4.601642564080661,4.571684283213534,2.0100728335373415,1.9816880647036328,2.0008900006105295,0.016035378883503103,0.03444867097448177,0.045767909265234274
13,1,3,4.601081828561489,4.601642564080661,4.571684283213534,1.9905231990854075,1.964174087234656,1.9354400781077838,0.01621053586160172,0.03431778242100205,0.045804069814528864
14,1,4,4.601081828561489,4.601642564080661,4.571684283213534,1.9797330050064992,2.00708150162484,1.9895413387486662,0.016645126605228454,0.03490806390753044,0.045859855669878935
15,1,5,4.601081828561489,4.601642564080661,4.571684283213534,2.0148782455428864,2.018799421182796,1.9829929829349295,0.016724361265715994,0.03493454246487327,0.04587429494156922
16,1,6,4.601081828561489,4.601642564080661,4.571684283213534,1.955017235755167,1.9521590491173484,1.9903806473473367,0.016225144490995307,0.034721640390877835,0.0459590850661033
17,1,7,4.601081828561489,4.601642564080661,4.571684283213534,1.9048076880028768,1.9501361927794514,1.9841422631790249,0.016453875659226055,0.03467661226239849,0.045881634974479904
18,1,8,4.601081828561489,4.601642564080661,4.571684283213534,1.9932849645138773,2.03882896595821,2.0002541502880913,0.01659820943704784,0.03457044378098482,0.045906425938761146
19,1,9,4.601081828561489,4.601642564080661,4.571684283213534,2.016553220837604,1.9953789991612076,2.0097521928396036,0.016696058955880125,0.03490313228686858,0.045926549713368556
20,2,0,4.440232024757066,4.522870232102013,4.421345064239022,1.9468906907647514,1.9513682605405862,1.909750711990186,0.01646939667208092,0.03472580155871702,0.045863620169566036
21,2,1,4.440232024757066,4.522870232102013,4.421345064239023,1.90914431807447,1.9741232970894111,1.9421633235297031,0.016760359590697937,0.034711527151129073,0.04589145549855054
22,2,2,4.440232024757066,4.522870232102013,4.421345064239022,1.8807913121795314,1.9281598354450558,1.8637592848566606,0.0159144621437201,0.03429635309154332,0.045734545075304354
23,2,3,4.440232024757066,4.522870232102013,4.421345064239022,1.9031679936361803,1.949112194085769,1.899204821602886,0.016493184446474407,0.034782156170186804,0.04578730309325493
24,2,4,4.440232024757066,4.522870232102013,4.421345064239022,1.9182055089813634,1.939857303092012,1.9137786751285626,0.016475071431504857,0.03459569812762195,0.04576271678727356
25,2,5,4.440232024757066,4.522870232102013,4.421345064239022,1.9306228231890301,1.9410580712065744,1.9130587059673754,0.016560818988703492,0.03468526620085288,0.04588289350889361
26,2,6,4.440232024757066,4.522870232102013,4.421345064239022,1.9144941638364779,1.9310286121613416,1.9279880243569247,0.01635716559213062,0.03503416666664443,0.04609005090590367
27,2,7,4.440232024757066,4.522870232102013,4.421345064239022,1.881363944837284,1.9191853472564733,1.8758521781358668,0.01595375109895686,0.034633472525510904,0.04589601426997564
28,2,8,4.440232024757066,4.522870232102013,4.421345064239022,1.927414453121684,1.9465898224294647,1.920336537471735,0.01641664648501395,0.03497586211897111,0.0458924510807144
29,2,9,4.440232024757066,4.522870232102013,4.421345064239022,1.9266016509444024,2.0119542997403617,1.9193507986151246,0.016602121493010047,0.03510412623235009,0.04578110311828808
30,3,0,4.463274009058103,4.379230945852637,4.305609023092951,1.9351304372938116,1.9165285798908271,1.8755484356806005,0.016606322452426558,0.03498410370017318,0.04586622176486688
31,3,1,4.463274009058103,4.379230945852637,4.305609023092951,1.9487033377352747,1.924261312339778,1.83915893281822,0.016360069613405206,0.03472718034813625,0.045859589742477475
32,3,2,4.463274009058103,4.379230945852637,4.305609023092951,1.9209769411157123,1.8449652785473347,1.854335818707348,0.015935937253911913,0.034535254645150025,0.04585162995116575
33,3,3,4.463274009058103,4.379230945852637,4.305609023092951,1.9091569602444032,1.908609228206215,1.8634727880975184,0.016430366075621688,0.03484879659059318,0.045854974874801994
34,3,4,4.463274009058103,4.379230945852637,4.305609023092951,1.9369178382174967,1.914018300406516,1.876991443602789,0.01637821489613404,0.03488122321993627,0.04592371262316536
35,3,5,4.463274009058103,4.379230945852637,4.305609023092951,1.891992958886068,1.9002440339878504,1.8366261537264725,0.01647439419299973,0.0347557058679142,0.04585412956859966
36,3,6,4.463274009058103,4.379230945852637,4.305609023092951,1.9206740986151063,1.881455452532116,1.8439532920211001,0.016470201796929214,0.03484269179564707,0.04582112380093178
37,3,7,4.463274009058103,4.379230945852637,4.305609023092951,1.9381280230630946,1.8872009683836066,1.8662396183449534,0.016442126419298087,0.03481744912886482,0.04590417311162283
38,3,8,4.463274009058103,4.379230945852637,4.305609023092951,1.9471442040698852,1.9297548245813068,1.8840922195001564,0.016590622563220504,0.035095894193523894,0.04594369700034325
39,3,9,4.463274009058103,4.379230945852637,4.305609023092951,1.9235238172480495,1.8980028960985587,1.8199708357250008,0.016704118982405168,0.03449735022718373,0.04587744183979008
40,4,0,4.3260591272792945,4.466578184603587,4.314377630175204,1.8960420910813673,1.943767335098892,1.850548512961332,0.016191006558710863,0.03472718829010828,0.046056698879033985
41,4,1,4.326059127279294,4.466578184603587,4.314377630175204,1.852123714888827,1.9266967450930776,1.8719911378486223,0.016275070957196994,0.03427807918719594,0.04589857186947307
42,4,2,4.3260591272792945,4.466578184603587,4.314377630175204,1.8605408350666532,1.9101943840120126,1.8573656034927761,0.01619029647069565,0.03470366924335045,0.04590719651167462
43,4,3,4.326059127279294,4.466578184603587,4.314377630175204,1.8566703949690104,1.9084154934232154,1.828685901991417,0.015965704965545422,0.034806887096802,0.04581919999305358
44,4,4,4.326059127279294,4.466578184603587,4.314377630175204,1.883927606059704,1.8918299063993345,1.853758460680056,0.016186138389111548,0.034365784155837624,0.04574666026161851
45,4,5,4.326059127279294,4.466578184603587,4.314377630175204,1.8458730926625013,1.9231409266894588,1.822789411032271,0.01626365520736189,0.03436342687513676,0.0458573758875132
46,4,6,4.326059127279294,4.466578184603587,4.314377630175204,1.8141446240773,1.929563998987036,1.8920137788750948,0.016313657249767237,0.03458583883735967,0.045816168006823685
47,4,7,4.326059127279294,4.466578184603587,4.314377630175204,1.8199542004326452,1.9033846709099005,1.834221643176008,0.016183524257674622,0.03492991654250448,0.045835191403546804
48,4,8,4.326059127279294,4.466578184603587,4.314377630175204,1.9051515195648707,1.9741888348359469,1.8793044633450395,0.01651684154923382,0.03483147640741632,0.04591920765215331
49,4,9,4.326059127279294,4.466578184603587,4.314377630175204,1.8633133328990548,1.9528647014663254,1.8541210035115951,0.016546623141726027,0.03505221284852242,0.04597191112417851
50,5,0,4.407399612486315,4.523084227648687,4.62875332514858,1.9251217887891028,1.948761207332628,2.010022596272234,0.01646177267260487,0.03481326786911119,0.045809687031285455
51,5,1,4.407399612486315,4.523084227648687,4.62875332514858,1.9160625552679047,1.926397753094133,1.9679159321944941,0.015988674564986045,0.03464178526551695,0.04587909743679615
52,5,2,4.407399612486315,4.523084227648687,4.62875332514858,1.9127190600923918,1.9376179507598457,1.978848730051672,0.016187967983688458,0.034376638605464326,0.04580664930741433
53,5,3,4.407399612486315,4.523084227648687,4.62875332514858,1.9254354210474252,1.9542555027957622,2.0266018141904976,0.016492545677130686,0.034934635809201836,0.04583859254674779
54,5,4,4.407399612486315,4.523084227648687,4.62875332514858,1.9295739398187886,2.0047600298349266,2.0391996548726437,0.01650496917829824,0.03484643083357142,0.045876112189634784
55,5,5,4.407399612486315,4.523084227648687,4.62875332514858,1.927812237676483,1.9629881097566158,2.0144489611227705,0.016523573464821695,0.03483239879985791,0.04582919118503501
56,5,6,4.407399612486315,4.523084227648687,4.628753325148578,1.9176658399142066,1.9843896612730905,2.0166957755836727,0.016550889012362152,0.03500237685713737,0.04591891804361675
57,5,7,4.407399612486315,4.523084227648687,4.62875332514858,1.911875260274267,1.9497475144236374,2.0005841875876125,0.01680226622094431,0.03474154769684192,0.045961173882031116
58,5,8,4.407399612486315,4.523084227648687,4.62875332514858,1.8788805965210555,1.960124606712279,1.9556286823781392,0.015943300052416655,0.03480150600435094,0.04593472591466341
59,5,9,4.407399612486315,4.523084227648687,4.62875332514858,1.8913932374741966,1.9163708130725199,1.9680198143580543,0.016001477853760018,0.03470172945472334,0.045849561191182275
60,6,0,4.330864390462776,4.417701904266544,4.446108819098006,1.841342433645314,1.9157512518328983,1.9208818658488889,0.01614395783778939,0.03460294395679995,0.04570891840121085
61,6,1,4.330864390462776,4.417701904266544,4.446108819098004,1.891001020357468,1.940604607447458,1.9483912909566754,0.01636024891097069,0.0348198236576662,0.04591379826387189
62,6,2,4.330864390462776,4.417701904266544,4.446108819098006,1.8695835398948777,1.870882106302019,1.9398345496685867,0.016079210412260084,0.0346946247483188,0.045925314846644756
63,6,3,4.330864390462776,4.417701904266544,4.446108819098006,1.876949665229032,1.8801334355011978,1.8855562745430712,0.01654105084903883,0.03468043268627544,0.04574391312194312
64,6,4,4.330864390462776,4.417701904266544,4.446108819098004,1.847405696567914,1.8870386561612469,1.9189571773227636,0.01648149141300247,0.034681745223393144,0.045726637071423694
65,6,5,4.330864390462776,4.417701904266544,4.446108819098006,1.9044042103716097,1.933092407676964,1.9495312071980715,0.01639315362762904,0.03464074715067536,0.04581227324438241
66,6,6,4.330864390462776,4.417701904266544,4.446108819098006,1.8551181087164723,1.8911061218051763,1.8851304617060127,0.016504929981082314,0.03464183186026461,0.045796722040787774
67,6,7,4.330864390462775,4.417701904266544,4.446108819098006,1.858436648384913,1.8895809976972675,1.912745598864106,0.01646819772355958,0.03451146837796544,0.04573664692550589
68,6,8,4.330864390462776,4.417701904266544,4.446108819098006,1.8858210569023472,1.9049997290710512,1.923946919562089,0.016262340785495558,0.0347334463484167,0.045918615577513235
69,6,9,4.330864390462776,4.417701904266544,4.446108819098004,1.8604505362755113,1.887118937733307,1.9374247199720378,0.01645301932358177,0.03458273918903421,0.045722975419721534
70,7,0,4.354094459003455,4.390108758587633,4.616261789323906,1.8776316816874652,1.8863912301554497,1.9571957754349456,0.016346158675681184,0.034390266892593044,0.045763557747146674
71,7,1,4.354094459003455,4.390108758587633,4.616261789323906,1.8400445073532727,1.8440960288418475,1.9691665167597205,0.01572612722650366,0.03437895521766251,0.04573186264006091
72,7,2,4.354094459003455,4.390108758587633,4.616261789323906,1.900577029117796,1.892424485342088,1.9501492707995527,0.016060723658726555,0.03461302449473461,0.04571079281196864
73,7,3,4.354094459003455,4.390108758587633,4.616261789323907,1.845368825163641,1.903436557669047,2.032956755796546,0.016160347863923015,0.03484347143214367,0.04594027338497477
74,7,4,4.354094459003455,4.390108758587633,4.616261789323906,1.8830531607832424,1.9021504127674578,2.022356579353895,0.0165652161306925,0.03477131619577243,0.04589458899241153
75,7,5,4.354094459003455,4.390108758587633,4.616261789323906,1.8915644758786863,1.900940650235549,2.02607593088081,0.016583884643095386,0.03467852012818928,0.04583523412829256
76,7,6,4.354094459003455,4.390108758587633,4.616261789323906,1.881871166699119,1.9311166242832765,1.9765155863086843,0.016186054269441315,0.03458680320136094,0.04594040402833207
77,7,7,4.354094459003455,4.390108758587633,4.616261789323907,1.9538443771741671,1.9234022417238315,2.0271757610179995,0.016690334945279908,0.03506935868458345,0.04596513929194081
78,7,8,4.354094459003455,4.390108758587633,4.616261789323906,1.8777045527599543,1.9161095546646671,1.9970924518628168,0.016593058688610565,0.03492924909686098,0.045849136500450506
79,7,9,4.354094459003455,4.390108758587633,4.616261789323906,1.8686780494434243,1.886340486035558,1.957760257906567,0.01611421970430832,0.03430695862805791,0.045765880899869174
80,8,0,4.057942866249448,4.142684234749284,4.016412894188104,1.7683913728269203,1.8198682720844321,1.7501182507785642,0.016544212422154078,0.03452796112731202,0.04576667099605836
81,8,1,4.057942866249448,4.142684234749284,4.016412894188106,1.7578190445527007,1.8045141588478169,1.7356555119646007,0.016530213014428568,0.03479550868389033,0.04571623923290639
82,8,2,4.057942866249448,4.142684234749284,4.016412894188104,1.7445814239900053,1.792361725343214,1.7351689188740436,0.01594808285428102,0.03447236234683927,0.04582110911959604
83,8,3,4.057942866249448,4.142684234749284,4.016412894188106,1.7571067388163948,1.8164081228000881,1.723169562065497,0.016389317883454057,0.034577797115679924,0.04575556861821016
84,8,4,4.057942866249448,4.142684234749284,4.016412894188104,1.7220831136123558,1.7896027003722574,1.7199344514117152,0.01627321844736402,0.03443597660659594,0.04578620941740825
85,8,5,4.057942866249448,4.142684234749284,4.016412894188106,1.7456369975262032,1.7833052953265078,1.7549164196542715,0.016558009263996667,0.03473394000626044,0.04589865329475685
86,8,6,4.057942866249448,4.142684234749284,4.016412894188106,1.7808992449636287,1.7932188009542538,1.7639807680796082,0.01639702874502343,0.03454443681518844,0.04586815299531737
87,8,7,4.057942866249448,4.142684234749284,4.016412894188104,1.7611787819623763,1.7900230287803591,1.7371229654793423,0.016250128611095038,0.03458099565693563,0.0458383150394072
88,8,8,4.057942866249448,4.142684234749284,4.016412894188104,1.7742460912816158,1.8096734349733794,1.73386646018333,0.016602707638519155,0.034687700494533846,0.04586164667433387
89,8,9,4.057942866249448,4.142684234749284,4.016412894188106,1.750715172853926,1.7867880350262664,1.7354181907798523,0.016536572178644404,0.03467897380619111,0.04589199024386045
90,9,0,4.532508923075517,4.657190668649386,4.537167929097407,1.9329871856993395,2.0297004105959044,1.9614214004461894,0.016636265905739932,0.03512038335885448,0.04584194251272294
91,9,1,4.532508923075517,4.657190668649385,4.537167929097407,2.0111040481174105,2.045100691695207,1.9828025778940848,0.016562749912610197,0.03470027771310889,0.04589498571845437
92,9,2,4.532508923075517,4.657190668649386,4.537167929097407,1.9760734282434511,2.0270013438574073,1.9790705274253637,0.01664625494717646,0.034660439702530604,0.04581592510302469
93,9,3,4.532508923075517,4.657190668649385,4.537167929097407,1.968034866981641,2.0460820989004387,1.971870056987304,0.01662839455625611,0.03469694221268113,0.04594491402003566
94,9,4,4.532508923075517,4.657190668649385,4.537167929097407,1.9650623763202633,2.0151455581967945,1.9263212194015702,0.016307354448865215,0.034764754476215354,0.04582750634721881
95,9,5,4.532508923075517,4.657190668649385,4.537167929097407,1.9361163844623195,2.0132077906922454,1.9624246808664638,0.016535354323116466,0.03465534848849041,0.04589802123078051
96,9,6,4.532508923075517,4.657190668649385,4.537167929097407,1.9816503659974607,2.0231962333107596,1.9702362005347205,0.016673684795716154,0.03486376318743733,0.04579870038620574
97,9,7,4.532508923075517,4.657190668649386,4.537167929097407,1.9329483906259217,2.041075883618598,1.9552538629147762,0.016404443899052698,0.034458884417807284,0.04579911891256481
98,9,8,4.532508923075517,4.657190668649386,4.537167929097407,1.9488087425185106,2.0044409888808183,1.9819618093434646,0.016682053968352473,0.03503059951088744,0.04587069583731962
99,9,9,4.532508923075517,4.657190668649386,4.537167929097407,1.984055361615443,2.027488748131436,1.9481058687166333,0.016650223310205582,0.03504087338288816,0.04595918511278861
